"StrUeb2585_2622","-110","-22"
"Köln-Lövenich","-95","13"
"Horrem, W 11","-99","1"
"Köln-Ehrenfeld","-93","19"
"Horrem","-99","1"
"Horrem, W 82","-99","1"
"Köln Hbf","-96","26"
"Köln Hansaring","-95","25"
"Köln-Mülheim, W 238","-92","32"
"Hürth-Kalscheuren","-103","20"
"StrUeb2633_2658","-96","28"
"StrUeb2639_2651_1","-96","28"
"Selmig (Abzw)","-26","107"
"Köln-Mülheim, W 12","-92","32"
"Köln-Buchforst","-95","30"
"Köln-Mülheim, W 221","-92","32"
"Köln Frankfurter Straße","-99","36"
"Köln-Mülheim, W 103","-92","32"
"Köln-Mülheim, W 105","-92","32"
"Köln-Mülheim","-48","18"
"Köln-Mülheim, W 233","-92","32"
"Köln-Kalk Nord, W 528","-95","31"
"Köln-Kalk Nord, W 54","-95","31"
"StrUeb2700_2701","-64","54"
"Iserlohn-Letmathe","-53","91"
"Hagen Hbf","-54","76"
"Hagen-Vorhalle, W 522","-51","73"
"Hagen Gbf","-225","-77"
"StrUeb2803_2811","-54","76"
"Brügge (Westf), W 4","-69","87"
"Schalksmühle","-66","82"
"Hagen-Hengstey","-50","76"
"Hagen-Kabel, W 307","-49","79"
"Schwerte (Ruhr)","-47","87"
"Schwerte (Ruhr) Ost, W 305","-47","87"
"Bönen","-30","106"
"Bönen, W 51","-30","106"
"Hamm (Westf) Rbf, W 135","-22","111"
"Holzheim (b Neuss)","-74","-3"
"Neuss Nordkanal W 1","-71","-1"
"Hagen-Vorhalle, W 421","-51","73"
"Lembeck","-14","30"
"Klein Reken","-11","34"
"Hattingen (Ruhr)","-50","49"
"Spich","-107","41"
"Hagen-Haspe","-55","72"
"Hagen-Vorhalle Vwf","-51","73"
"Emmerich-Elten","-3","-54"
"Wuppertal-Vohwinkel","-67","36"
"Neuss Hbf, W 45","-70","-2"
"Düren, W 230","-110","-22"
"Düren","-110","-22"
"Lünen Hbf, W 441","-28","83"
"StrUeb2530_2550","-70","-2"
"Köln-Ehrenfeld, W 90","-93","19"
"Alpen","-501","296"
"Oberhausen Hochstraße","-40","20"
"Mülheim (Ruhr) Hbf","-47","19"
"Mülheim (Ruhr)-Heißen Abzw","-412","306"
"Essen-Horst","-45","-65"
"Letmathe, W 174","-53","91"
"Mecklenbeck","2","87"
"Mecklenbeck, 99W713","2","87"
"Kierspe","-77","90"
"Köln Bonntor, W 3","-99","26"
"StrUeb2206_2246_2","-82","523"
"Abzw Hohensyburg, W 573","-48","79"
"Dortmund-Dorstfeld, W 61","-39","72"
"StrUeb2165_2167_2","-47","45"
"StrUeb2641_2656_1","-97","33"
"StrUeb2600_2611_1","-93","19"
"StrUeb2641_2643_2","-99","26"
"StrUeb2224_2250","-30","55"
"StrUeb2423_2550_2","-68","21"
"Hürth-Kalscheuren, W 33","-102","21"
"StrUeb2550_2580","-73","6"
"StrUeb2142_2151_2","-40","63"
"Neuss, W 56","-70","-1"
"Hagen-Haspe, W 441","-55","72"
"Köln West, W 52","-96","23"
"StrUeb2423_2550_1","-68","24"
"StrUeb2014_2931","9","93"
"StrUeb2630_2642_2","-97","24"
"Köln-Ehrenfeld, W 55","-93","19"
"StrUeb2312_2505_1","-47","8"
"Köln Eifeltor, Stw Esf, W 426","-101","22"
"StrUeb2700_2705_1","-72","50"
"Lünen Hbf, W 442","-28","83"
"StrUeb2000_2100_2","-28","83"
"Münster (Westf) Hbf, W 426","6","93"
"Aachen Hbf, W 13","-113","-61"
"Kanal, W 599","-104","-235"
"Do-Kirchderne, W 101","-34","82"
"Dortmund-Obereving, W 36","-35","78"
"Dortmund-Hörde, W 3","-43","80"
"StrUeb2103_2120_1","-41","75"
"Dortmund Signal Iduna Park, W205","-41","75"
"Holzwickede, W 262","-40","92"
"Unna, W 10","-36","99"
"Unna, W 3","-36","99"
"Dortmund Süd, W 31","-39","77"
"StrUeb2613_2640_1","-96","23"
"Dortmund Hbf, W 212","-38","76"
"Porz-Wahn, W 314","-104","39"
"StrUeb2132_2650_2","-34","85"
"Bochum-Langendreer, 55W87","-43","62"
"StrUeb2140_2146","-43","62"
"Witten Hbf, W 85","-46","63"
"Bochum-Langendreer, W 210","-43","62"
"Wengern Ost, W 117","-50","65"
"StrUeb2152_2153_2","-41","50"
"Herne-Rottbruch","-69","79"
"StrUeb2103_2113_1","-43","80"
"StrUeb2153_2212","-36","52"
"Wanne-Eickel Hbf, W 29","-37","47"
"StrUeb2154_2208_2","-37","47"
"Dortmund Hbf, W 207","-38","76"
"StrUeb2158_2650","-38","80"
"StrUeb2160_2164_1","-44","38"
"Essen Hbf, W 57","-45","31"
"Essen Hbf, W 35","-45","31"
"W 184","-43","38"
"Essen Hbf, W 31","-45","31"
"StrUeb2164_2291","-44","37"
"Bochum-Dahlhausen, W 301","-47","45"
"Essen-Steele, W 106","-45","38"
"Essen-Überruhr, W 201","-47","38"
"Gelsenkirchen Hbf, W 24","-40","40"
"StrUeb2168_2650","-37","47"
"Essen-Steele, W 105","-45","38"
"Essen Hbf, W 10","-45","31"
"38W4","-45","15"
"Oberhausen Hbf, W 107","-43","15"
"Oberhausen Hbf, W 9","-43","15"
"Mülheim (Ruhr)-Styrum, 38W32","-45","15"
"Essen-Steele, W 79","-45","38"
"StrUeb2525_2550_1","-70","-2"
"Duisburg Hbf, 32W604","-47","8"
"StrUeb2620_2622_1","-92","25"
"StrUeb2190_2191_2","-39","72"
"Köln-Worringen, W 431","-84","17"
"Dortmund-Mengede, 22W9","-33","69"
"Essen-Steele, W 107","-45","38"
"W 103","-45","38"
"Abzw Baukau, W 104","-35","50"
"Recklinghausen Hbf, 84W61","-28","50"
"StrUeb2200_2252_2","-24","41"
"StrUeb2200_2650","-37","47"
"StrUeb2650_2658","-92","31"
"Bottrop Süd, W 24","-36","19"
"StrUeb2206_2246_1","-42","24"
"StrUeb2208_2221","-118","-267"
