"Streckennummer","Streckenabschnitt","Gleisart", "Länge","Höchstgeschwindigkeit","Bremsweg"
"2140","StrUeb2125_2140_2 - Bochum Stockumer Straße","Richtungsgleis","0,0","80","1000 m Bremsweg"
"2650","StrUeb2237_2650 - StrUeb2168_2650","Gegengleis","0,2","140","1000 m Bremsweg"
"2650","StrUeb2237_2650 - StrUeb2168_2650","Richtungsgleis","0,2","140","1000 m Bremsweg"
"2650","Wanne-Eickel Hbf, W 25 - StrUeb2200_2650","Gegengleis","0,2","100","1000 m Bremsweg"
"2650","Wanne-Eickel Hbf, W 25 - StrUeb2200_2650","Richtungsgleis","0,2","100","1000 m Bremsweg"
"2243","StrUeb2243_2244_1 - Essen Prosper-Levin","Gegengleis","0,0","60","700 m Bremsweg"
"2243","StrUeb2243_2244_1 - Essen Prosper-Levin","Richtungsgleis","0,0","60","1000 m Bremsweg"
"2610","StrUeb2600_2610_1 - Köln-Nippes Streckenwechsel 2618/2610","Gegengleis","1,3","120","400 m Bremsweg"
"2610","StrUeb2600_2610_1 - Köln-Nippes Streckenwechsel 2618/2610","Richtungsgleis","1,3","120","400 m Bremsweg"
"2250","Bottrop Hbf, W 319 - Bottrop Hbf, W 172","Gegengleis","1,6","100","1000 m Bremsweg"
"2250","Bottrop Hbf, W 319 - Bottrop Hbf, W 172","Richtungsgleis","1,6","100","1000 m Bremsweg"
"2263","StrUeb2263_2270 - Wesel","eingleisig","0,2","80","700 m Bremsweg"
"2270","StrUeb2263_2270 - Wesel","Gegengleis","0,2","130","1000 m Bremsweg"
"2270","StrUeb2263_2270 - Wesel","Richtungsgleis","0,2","130","1000 m Bremsweg"
"2931","StrUeb2265_2931 - StrUeb2014_2931","Gegengleis","2,4","140","1000 m Bremsweg"
"2931","StrUeb2265_2931 - StrUeb2014_2931","Richtungsgleis","2,4","140","1000 m Bremsweg"
"2277","StrUeb2270_2277 - Oberhausen Hbf","eingleisig","0,4","40","700 m Bremsweg"
"2270","StrUeb2270_2277 - Oberhausen Hbf","eingleisig","0,4","60","1000 m Bremsweg"
"2321","StrUeb2270_2321 - StrUeb2271_2321","Gegengleis","0,2","80","1000 m Bremsweg"
"2321","StrUeb2270_2321 - StrUeb2271_2321","Richtungsgleis","0,2","80","auf Anfrage"
"2270","StrUeb2270_2321 - Oberhausen-Sterkrade","Gegengleis","2,8","160","1000 m Bremsweg"
"2270","StrUeb2270_2321 - Oberhausen-Sterkrade","Richtungsgleis","2,8","160","1000 m Bremsweg"
"2407","Düsseldorf-Unterrath, W 852 - Düsseldorf-Unterrath, W 765","Gegengleis","1,0","120","1000 m Bremsweg"
"2407","Düsseldorf-Unterrath, W 852 - Düsseldorf-Unterrath, W 765","Richtungsgleis","1,0","120","1000 m Bremsweg"
"2274","Oberhausen Hbf, W 23 - Duisburg-Obermeiderich","eingleisig","2,2","100","700 m Bremsweg"
"2283","Oberhausen Hbf, W 23 - Oberhausen Hbf","eingleisig","0,3","40","700 m Bremsweg"
"2277","Oberhausen Hbf, W 509 - Oberhausen Hbf, W 512","Gegengleis","0,0","90","700 m Bremsweg"
"2277","Oberhausen Hbf, W 509 - Oberhausen Hbf, W 512","Richtungsgleis","0,0","90","1000 m Bremsweg"
"2277","Oberhausen Hbf, W 512 - Essen-Dellwig (Abzw)","Gegengleis","4,4","90","700 m Bremsweg"
"2277","Oberhausen Hbf, W 512 - Essen-Dellwig (Abzw)","Richtungsgleis","4,4","90","700 m Bremsweg"
"2321","Abzw Oberhausen Mathilde, W 143 - Oberhausen Mathilde","Gegengleis","0,0","80","1000 m Bremsweg"
"2321","Abzw Oberhausen Mathilde, W 143 - Oberhausen Mathilde","Richtungsgleis","0,0","80","700 m Bremsweg"
"2291","Essen West, W 487 - Essen Hbf, W 10","Gegengleis","1,4","120","1000 m Bremsweg"
"2291","Essen West, W 487 - Essen Hbf, W 10","Richtungsgleis","1,4","120","1000 m Bremsweg"
"2281","StrUeb2281_2304 - Oberhausen West, W 187","eingleisig","0,0","40","1000 m Bremsweg"
"2320","Oberhausen West, W 82 - Oberhausen West","Gegengleis","0,8","40","1000 m Bremsweg"
"2320","Oberhausen West, W 82 - Oberhausen West","Richtungsgleis","0,8","40","1000 m Bremsweg"
"2281","Oberhausen West, W 82 - StrUeb2281_2304","eingleisig","0,9","40","1000 m Bremsweg"
"2320","Oberhausen West, W 253 - StrUeb2320_2331","Gegengleis","0,9","60","700 m Bremsweg"
"2320","Oberhausen West, W 253 - StrUeb2320_2331","Richtungsgleis","0,9","60","700 m Bremsweg"
"2291","Mülheim (Ruhr)-Styrum - Mülheim (Ruhr)-Styrum, 38W32","Gegengleis","0,5","140","1000 m Bremsweg"
"2291","Mülheim (Ruhr)-Styrum - Mülheim (Ruhr)-Styrum, 38W32","Richtungsgleis","0,5","140","1000 m Bremsweg"
"2206","Oberhausen-Osterfeld, 42W332 - Oberhausen Grafenbusch","Gegengleis","1,1","100","700 m Bremsweg"
"2206","Oberhausen-Osterfeld, 42W332 - Oberhausen Grafenbusch","Richtungsgleis","1,1","100","700 m Bremsweg"
"2290","Duisburg Hbf, W 730 - Duisburg Hbf","Gegengleis","0,4","90","1000 m Bremsweg"
"2290","Duisburg Hbf, W 730 - Duisburg Hbf","Richtungsgleis","0,4","90","1000 m Bremsweg"
"2400","Hattingen (Ruhr), W 707 - Hattingen (Ruhr)","Gegengleis","0,5","70","700 m Bremsweg"
"2400","Hattingen (Ruhr), W 707 - Hattingen (Ruhr)","Richtungsgleis","0,5","70","700 m Bremsweg"
"2292","Hattingen (Ruhr), W 707 - Hattingen (Ruhr)","eingleisig","0,4","50","700 m Bremsweg"
"2302","StrUeb2302_2327 - Oberhausen West","eingleisig","3,0","40","700 m Bremsweg"
"2650","StrUeb2132_2650_1 - Dortmund-Kurl","Gegengleis","2,9","200","1000 m Bremsweg"
"2650","StrUeb2132_2650_1 - Dortmund-Kurl","Richtungsgleis","2,9","200","1000 m Bremsweg"
"2304","StrUeb2304_2331 - Oberhausen West","eingleisig","2,3","40","1000 m Bremsweg"
"2331","StrUeb2304_2331 - Oberhausen Mathilde","Gegengleis","2,0","60","1000 m Bremsweg"
"2331","StrUeb2304_2331 - Oberhausen Mathilde","Richtungsgleis","2,0","60","700 m Bremsweg"
"2326","Duisburg Hbf, 32W600 - Duisburg Hbf","eingleisig","0,9","70","700 m Bremsweg"
"2310","Duisburg-Großenbaum, 34W208 - Duisburg-Großenbaum","eingleisig","0,3","130","1000 m Bremsweg"
"2670","Duisburg-Großenbaum, 34W208 - Duisburg-Großenbaum, W 212","Gegengleis","0,0","160","1000 m Bremsweg"
"2670","Duisburg-Großenbaum, 34W208 - Duisburg-Großenbaum, W 212","Richtungsgleis","0,0","160","1000 m Bremsweg"
"2312","Duisburg-Hochfeld Süd Abzw, 35W147 - StrUeb2312_2505_1","Gegengleis","0,0","120","1000 m Bremsweg"
"2312","Duisburg-Hochfeld Süd Abzw, 35W147 - StrUeb2312_2505_1","Richtungsgleis","0,0","120","1000 m Bremsweg"
"2505","Duisburg-Hochfeld Süd Abzw, 35W147 - StrUeb2312_2505_1","Gegengleis","0,0","100","1000 m Bremsweg"
"2505","Duisburg-Hochfeld Süd Abzw, 35W147 - StrUeb2312_2505_1","Richtungsgleis","0,0","100","1000 m Bremsweg"
"2317","Duisburg-Großenbaum, W 212 - Duisburg-Großenbaum","eingleisig","0,3","160","1000 m Bremsweg"
"2670","Duisburg-Großenbaum, W 212 - Duisburg-Großenbaum","Gegengleis","0,3","160","1000 m Bremsweg"
"2670","Duisburg-Großenbaum, W 212 - Duisburg-Großenbaum","Richtungsgleis","0,3","160","1000 m Bremsweg"
"2320","Abzw Duisburg Sigle, W 14 - Duisburg Ruhrtal","Gegengleis","0,8","80","700 m Bremsweg"
"2320","Abzw Duisburg Sigle, W 14 - Duisburg Ruhrtal","Richtungsgleis","0,8","80","700 m Bremsweg"
"2320","StrUeb2320_2331 - Oberhausen Walzwerk","Gegengleis","0,0","60","Kein Dokument vorhanden"
"2320","StrUeb2320_2331 - Oberhausen Walzwerk","Richtungsgleis","0,0","60","Kein Dokument vorhanden"
"2324","Duisburg-Wedau Bissingheim, 04W21 - Duisburg-Wedau Entenfang","Gegengleis","1,6","100","1000 m Bremsweg"
"2324","Duisburg-Wedau Bissingheim, 04W21 - Duisburg-Wedau Entenfang","Richtungsgleis","1,6","100","1000 m Bremsweg"
"2326","Duisburg-Wedau Bissingheim, 04W21 - Duisburg-Wedau Bissingheim","eingleisig","0,1","60","1000 m Bremsweg"
"2324","Düsseldorf-Eller, W 472 - Hilden","Gegengleis","5,2","140","1000 m Bremsweg"
"2324","Düsseldorf-Eller, W 472 - Hilden","Richtungsgleis","5,2","140","1000 m Bremsweg"
"2418","Düsseldorf-Eller, W 472 - Düsseldorf-Eller","eingleisig","1,1","80","1000 m Bremsweg"
"2324","W 62 - Immigrath","Gegengleis","5,7","120","1000 m Bremsweg"
"2324","W 62 - Immigrath","Richtungsgleis","5,7","120","1000 m Bremsweg"
"2324","StrUeb2324_2690_1 - Gremberg Süd","Gegengleis","1,0","120","700 m Bremsweg"
"2324","StrUeb2324_2690_1 - Gremberg Süd","Richtungsgleis","1,0","120","1000 m Bremsweg"
"2690","StrUeb2324_2690_1 - Porz-Wahn","Gegengleis","5,8","200","1000 m Bremsweg"
"2690","StrUeb2324_2690_1 - Porz-Wahn","Richtungsgleis","5,8","200","1000 m Bremsweg"
"2330","Trompet, W 70 - Moers","Gegengleis","4,4","100","1000 m Bremsweg"
"2330","Trompet, W 70 - Moers","Richtungsgleis","4,4","100","700 m Bremsweg"
"2330","StrUeb2330_2505 - Rheinhausen","eingleisig","0,3","100","700 m Bremsweg"
"2505","StrUeb2330_2505 - Rheinhausen, W 77","Gegengleis","0,9","130","1000 m Bremsweg"
"2505","StrUeb2330_2505 - Rheinhausen, W 77","Richtungsgleis","0,9","130","1000 m Bremsweg"
"2340","Trompet, W 20 - Trompet","Gegengleis","0,7","90","1000 m Bremsweg"
"2340","Trompet, W 20 - Trompet","Richtungsgleis","0,7","90","1000 m Bremsweg"
"2332","Trompet, W 20 - Trompet","eingleisig","0,7","30","400 m Bremsweg"
"2340","Abzw Duisburg-Mühlenberg, W 1 - Trompet, W 20","Gegengleis","5,0","90","1000 m Bremsweg"
"2340","Abzw Duisburg-Mühlenberg, W 1 - Trompet, W 20","Richtungsgleis","5,0","90","1000 m Bremsweg"
"2342","Krefeld-Uerdingen, 7W8 - Abzw Duisburg-Mühlenberg, W 1","eingleisig","2,4","60","700 m Bremsweg"
"2400","Hagen Hbf, W 71 - Hagen Hbf","Gegengleis","0,3","40","1000 m Bremsweg"
"2400","Hagen Hbf, W 71 - Hagen Hbf","Richtungsgleis","0,3","40","1000 m Bremsweg"
"2804","Hagen Hbf, W 71 - Hagen Hbf","eingleisig","0,3","40","1000 m Bremsweg"
"2400","Hagen-Vorhalle, W 553 - Hagen-Vorhalle","Gegengleis","0,1","90","Kein Dokument vorhanden"
"2400","Hagen-Vorhalle, W 553 - Hagen-Vorhalle","Richtungsgleis","0,1","90","1000 m Bremsweg"
"2820","Hagen-Vorhalle, W 553 - StrUeb2803_2820","eingleisig","0,0","60","1000 m Bremsweg"
"2400","Hagen-Vorhalle, W 422 - Hagen-Vorhalle, W 584","Gegengleis","2,5","90","1000 m Bremsweg"
"2400","Hagen-Vorhalle, W 422 - Hagen-Vorhalle, W 584","Richtungsgleis","2,5","90","1000 m Bremsweg"
"2824","Hagen-Vorhalle, W 422 - Hagen-Vorhalle, W 421","eingleisig","0,1","40","700 m Bremsweg"
"2400","Hagen-Vorhalle, W 584 - Hagen-Vorhalle, W 553","Gegengleis","0,6","90","1000 m Bremsweg"
"2400","Hagen-Vorhalle, W 584 - Hagen-Vorhalle, W 553","Richtungsgleis","0,6","90","1000 m Bremsweg"
"2402","Abzw Düsseldorf Rethel, W 971 - Düsseldorf Dora","eingleisig","0,9","60","700 m Bremsweg"
"2410","Abzw Düsseldorf Rethel, W 971 - Düsseldorf-Derendorf","eingleisig","2,0","80","700 m Bremsweg"
"2550","Abzw Düsseldof Dora, W 4 - Düsseldorf Dora","Gegengleis","0,0","120","1000 m Bremsweg"
"2550","Abzw Düsseldof Dora, W 4 - Düsseldorf Dora","Richtungsgleis","0,0","120","1000 m Bremsweg"
"2670","StrUeb2411_2670 - Düsseldorf-Eller Süd","Gegengleis","2,9","160","1000 m Bremsweg"
"2670","StrUeb2411_2670 - Düsseldorf-Eller Süd","Richtungsgleis","2,9","160","1000 m Bremsweg"
"2417","Abzw Düsseldorf Sturm, W 402 - Düsseldorf Berg","eingleisig","0,6","80","700 m Bremsweg"
"2423","Herdecke, W 814 - Wittbräucke","eingleisig","2,0","80","700 m Bremsweg"
"2504","StrUeb2500_2504 - Krefeld-Uerdingen","Gegengleis","2,1","60","700 m Bremsweg"
"2504","StrUeb2500_2504 - Krefeld-Uerdingen","Richtungsgleis","2,1","60","700 m Bremsweg"
"2505","Rheinhausen, W 77 - Rheinhausen Ost","Gegengleis","0,3","130","1000 m Bremsweg"
"2505","Rheinhausen, W 77 - Rheinhausen Ost","Richtungsgleis","0,3","130","1000 m Bremsweg"
"2510","Viersen, W 94 - Viersen","Gegengleis","0,8","80","1000 m Bremsweg"
"2510","Viersen, W 94 - Viersen","Richtungsgleis","0,8","80","1000 m Bremsweg"
"2520","Viersen, W 94 - Viersen","Gegengleis","0,8","120","1000 m Bremsweg"
"2520","Viersen, W 94 - Viersen","Richtungsgleis","0,8","120","1000 m Bremsweg"
"2520","Viersen-Helenabrunn, W 215 - Viersen, W 94","Gegengleis","2,2","120","1000 m Bremsweg"
"2520","Viersen-Helenabrunn, W 215 - Viersen, W 94","Richtungsgleis","2,2","120","1000 m Bremsweg"
"2522","Viersen-Helenabrunn, W 215 - Viersen-Helenabrunn","eingleisig","0,8","80","700 m Bremsweg"
"2520","Mönchengladbach Hbf, W 15 - Mönchengladbach Hbf","eingleisig","0,3","60","1000 m Bremsweg"
"2550","Mönchengladbach Hbf, W 15 - Mönchengladbach Hbf","Gegengleis","0,3","140","1000 m Bremsweg"
"2550","Mönchengladbach Hbf, W 15 - Mönchengladbach Hbf","Richtungsgleis","0,3","140","1000 m Bremsweg"
"2521","StrUeb2521_2550 - Mönchengladbach Hbf","eingleisig","0,3","40","700 m Bremsweg"
"2550","StrUeb2521_2550 - Mönchengladbach-Lürrip","Gegengleis","1,7","140","1000 m Bremsweg"
"2550","StrUeb2521_2550 - Mönchengladbach-Lürrip","Richtungsgleis","1,7","140","1000 m Bremsweg"
"2524","Rheydt Hbf, 61W51 - Rheydt Hbf","eingleisig","0,4","80","700 m Bremsweg"
"2550","Rheydt Hbf, 61W51 - Mönchengladbach Hbf, W 15","Gegengleis","3,1","140","1000 m Bremsweg"
"2550","Rheydt Hbf, 61W51 - Mönchengladbach Hbf, W 15","Richtungsgleis","3,1","140","1000 m Bremsweg"
"2550","StrUeb2525_2550_2 - Neuss Hbf","Gegengleis","0,2","120","1000 m Bremsweg"
"2550","StrUeb2525_2550_2 - Neuss Hbf","Richtungsgleis","0,2","120","1000 m Bremsweg"
"2525","StrUeb2525_2550_2 - StrUeb2525_2550_1","eingleisig","0,0","70","1000 m Bremsweg"
"2525","Wuppertal-Vohwinkel, W 88 - Wuppertal-Sonnborn","Gegengleis","1,0","100","700 m Bremsweg"
"2525","Wuppertal-Vohwinkel, W 88 - Wuppertal-Sonnborn","Richtungsgleis","1,0","100","700 m Bremsweg"
"2723","Wuppertal-Vohwinkel, W 88 - Wuppertal-Vohwinkel","eingleisig","1,0","80","1000 m Bremsweg"
"2525","Wuppertal-Zoologischer Garten, 82W03 - Wuppertal-Steinbeck","Gegengleis","2,5","90","700 m Bremsweg"
"2525","Wuppertal-Zoologischer Garten, 82W03 - Wuppertal-Steinbeck","Richtungsgleis","2,5","90","700 m Bremsweg"
"2726","Wuppertal-Zoologischer Garten, 82W03 - Wuppertal-Steinbeck, W 86W01","eingleisig","2,7","40","700 m Bremsweg"
"2525","Wuppertal-Steinbeck, W 86W01 - Wuppertal Hbf","Gegengleis","0,6","60","700 m Bremsweg"
"2525","Wuppertal-Steinbeck, W 86W01 - Wuppertal Hbf","Richtungsgleis","0,6","60","700 m Bremsweg"
"2550","StrUeb2530_2550 - StrUeb2525_2550_1","Gegengleis","0,0","120","1000 m Bremsweg"
"2550","StrUeb2530_2550 - StrUeb2525_2550_1","Richtungsgleis","0,0","120","1000 m Bremsweg"
"2531","W 7 - Neuss Steinhausstr., W 31","Gegengleis","1,2","60","700 m Bremsweg"
"2531","W 7 - Neuss Steinhausstr., W 31","Richtungsgleis","1,2","60","700 m Bremsweg"
"2531","Neuss Steinhausstr., W 31 - Neuss Hbf","Gegengleis","0,0","60","700 m Bremsweg"
"2531","Neuss Steinhausstr., W 31 - Neuss Hbf","Richtungsgleis","0,0","60","700 m Bremsweg"
"2536","Neuss Steinhausstr., W 31 - Neuss, W 56","Gegengleis","0,6","60","700 m Bremsweg"
"2536","Neuss Steinhausstr., W 31 - Neuss, W 56","Richtungsgleis","0,6","60","700 m Bremsweg"
"2610","Abzw Neuss Nordkanal, W 3 - StrUeb2531_2610_3","Gegengleis","0,2","110","1000 m Bremsweg"
"2610","Abzw Neuss Nordkanal, W 3 - StrUeb2531_2610_3","Richtungsgleis","0,2","110","1000 m Bremsweg"
"2531","Abzw Neuss Nordkanal, W 3 - StrUeb2531_2610_3","Gegengleis","0,2","60","700 m Bremsweg"
"2531","Abzw Neuss Nordkanal, W 3 - StrUeb2531_2610_3","Richtungsgleis","0,2","60","700 m Bremsweg"
"2610","StrUeb2531_2610_3 - Neuss Nordkanal","Gegengleis","0,1","110","1000 m Bremsweg"
"2610","StrUeb2531_2610_3 - Neuss Nordkanal","Richtungsgleis","0,1","110","1000 m Bremsweg"
"2531","StrUeb2531_2610_3 - W 7","Gegengleis","0,3","60","700 m Bremsweg"
"2531","StrUeb2531_2610_3 - W 7","Richtungsgleis","0,3","60","700 m Bremsweg"
"2610","Abzw Weißenberg, W 312 - Meerbusch-Osterath","Gegengleis","6,0","140","1000 m Bremsweg"
"2610","Abzw Weißenberg, W 312 - Meerbusch-Osterath","Richtungsgleis","6,0","140","1000 m Bremsweg"
"2550","Abzw Neuss Erftkanal, W 185 - Düsseldorf-Bilk","Gegengleis","6,9","90","1000 m Bremsweg"
"2550","Abzw Neuss Erftkanal, W 185 - Düsseldorf-Bilk","Richtungsgleis","6,9","90","1000 m Bremsweg"
"2535","Abzw Neuss Erftkanal, W 185 - Weißenberg","eingleisig","1,1","60","700 m Bremsweg"
"2550","StrUeb2543_2550 - Herzogenrath","Gegengleis","0,3","120","1000 m Bremsweg"
"2550","StrUeb2543_2550 - Herzogenrath","Richtungsgleis","0,3","120","1000 m Bremsweg"
"2600","StrUeb2550_2600 - Aachen Hbf","Gegengleis","0,2","40","1000 m Bremsweg"
"2600","StrUeb2550_2600 - Aachen Hbf","Richtungsgleis","0,2","40","1000 m Bremsweg"
"2550","StrUeb2550_2600 - Aachen Hbf","Gegengleis","0,3","40","1000 m Bremsweg"
"2550","StrUeb2550_2600 - Aachen Hbf","Richtungsgleis","0,3","40","1000 m Bremsweg"
"2550","Rheydt Hbf, 61W43 - Rheydt Hbf, 61W51","Gegengleis","0,2","140","1000 m Bremsweg"
"2550","Rheydt Hbf, 61W43 - Rheydt Hbf, 61W51","Richtungsgleis","0,2","140","1000 m Bremsweg"
"2550","Hagen Hbf, W 9 Witten - Hagen Hbf","Gegengleis","0,4","70","1000 m Bremsweg"
"2550","Hagen Hbf, W 9 Witten - Hagen Hbf","Richtungsgleis","0,4","70","1000 m Bremsweg"
"2801","Hagen Hbf, W 9 Witten - Hagen Hbf, W 11","eingleisig","0,1","40","1000 m Bremsweg"
"2550","StrUeb2550_2840 - Schwerte (Ruhr)","Gegengleis","0,4","140","1000 m Bremsweg"
"2550","StrUeb2550_2840 - Schwerte (Ruhr)","Richtungsgleis","0,4","140","1000 m Bremsweg"
"2840","StrUeb2550_2840 - Schwerte (Ruhr)","eingleisig","0,4","110","1000 m Bremsweg"
"2550","Schwerte (Ruhr) Ost, W 326 - Langschede","Gegengleis","8,2","140","1000 m Bremsweg"
"2550","Schwerte (Ruhr) Ost, W 326 - Langschede","Richtungsgleis","8,2","140","1000 m Bremsweg"
"2581","Bedburg (Erft), 70W12 - Bedburg (Erft)","eingleisig","0,1","50","400 m Bremsweg"
"2580","Bedburg (Erft), 70W12 - Frimmersdorf","eingleisig","7,2","100","700 m Bremsweg"
"2600","Köln-Ehrenfeld, W 50 - StrUeb2600_2611_1","Gegengleis","0,0","250","1000 m Bremsweg"
"2600","Köln-Ehrenfeld, W 50 - StrUeb2600_2611_1","Richtungsgleis","0,0","250","1000 m Bremsweg"
"2611","Köln-Ehrenfeld, W 50 - StrUeb2600_2611_1","Gegengleis","0,0","100","1000 m Bremsweg"
"2611","Köln-Ehrenfeld, W 50 - StrUeb2600_2611_1","Richtungsgleis","0,0","100","1000 m Bremsweg"
"2600","StrUeb2600_2613_2 - Köln-Ehrenfeld, W 55","Gegengleis","0,0","250","1000 m Bremsweg"
"2600","StrUeb2600_2613_2 - Köln-Ehrenfeld, W 55","Richtungsgleis","0,0","250","1000 m Bremsweg"
"2600","Düren, W 233 - Langerwehe","Gegengleis","9,5","200","1000 m Bremsweg"
"2600","Düren, W 233 - Langerwehe","Richtungsgleis","9,5","200","1000 m Bremsweg"
"2611","StrUeb2601_2611 - Grevenbroich Erftwerk","Gegengleis","6,5","120","1000 m Bremsweg"
"2611","StrUeb2601_2611 - Grevenbroich Erftwerk","Richtungsgleis","6,5","120","1000 m Bremsweg"
"2610","Köln-Longerich, W 830 - Köln-Worringen","Gegengleis","5,4","160","1000 m Bremsweg"
"2610","Köln-Longerich, W 830 - Köln-Worringen","Richtungsgleis","5,4","160","1000 m Bremsweg"
"2620","StrUeb2610_2620_2 - Köln-Worringen, W 431","eingleisig","0,0","100","1000 m Bremsweg"
"2610","StrUeb2610_2620_2 - Köln-Worringen, W 431","Gegengleis","0,0","160","1000 m Bremsweg"
"2610","StrUeb2610_2620_2 - Köln-Worringen, W 431","Richtungsgleis","0,0","160","1000 m Bremsweg"
"2612","Köln-Ehrenfeld, W 44 - Köln-Ehrenfeld, W 90","eingleisig","0,9","60","700 m Bremsweg"
"2613","Köln-Ehrenfeld, W 44 - StrUeb2600_2613_2","Gegengleis","0,3","100","1000 m Bremsweg"
"2613","Köln-Ehrenfeld, W 44 - StrUeb2600_2613_2","Richtungsgleis","0,3","100","1000 m Bremsweg"
"2613","Köln-Ehrenfeld, W 1 - Köln-Ehrenfeld, W 44","Gegengleis","3,7","100","700 m Bremsweg"
"2613","Köln-Ehrenfeld, W 1 - Köln-Ehrenfeld, W 44","Richtungsgleis","3,7","100","1000 m Bremsweg"
"2613","StrUeb2613_2617 - StrUeb2613_2640_1","Gegengleis","0,0","40","700 m Bremsweg"
"2613","StrUeb2613_2617 - StrUeb2613_2640_1","Richtungsgleis","0,0","40","700 m Bremsweg"
"2613","Köln West, W 7 - StrUeb2613_2640_2","Gegengleis","0,1","40","Kein Dokument vorhanden"
"2613","Köln West, W 7 - StrUeb2613_2640_2","Richtungsgleis","0,1","40","700 m Bremsweg"
"2630","Köln West, W 7 - Köln Süd, W 1","Gegengleis","1,0","90","1000 m Bremsweg"
"2630","Köln West, W 7 - Köln Süd, W 1","Richtungsgleis","1,0","90","1000 m Bremsweg"
"2613","StrUeb2613_2640_2 - StrUeb2613_2617","Gegengleis","0,0","40","700 m Bremsweg"
"2613","StrUeb2613_2640_2 - StrUeb2613_2617","Richtungsgleis","0,0","40","700 m Bremsweg"
"2640","StrUeb2613_2640_2 - Köln Süd Abzw","Gegengleis","1,4","60","700 m Bremsweg"
"2640","StrUeb2613_2640_2 - Köln Süd Abzw","Richtungsgleis","1,4","60","700 m Bremsweg"
"2616","StrUeb2616_2639 - Köln Hbf","eingleisig","0,3","30","400 m Bremsweg"
"2639","StrUeb2616_2639 - Köln Messe/Deutz, W 612","Gegengleis","0,6","60","400 m Bremsweg"
"2639","StrUeb2616_2639 - Köln Messe/Deutz, W 612","Richtungsgleis","0,6","60","400 m Bremsweg"
"2640","Köln West, W 14 - StrUeb2613_2640_1","Gegengleis","0,0","40","700 m Bremsweg"
"2640","Köln West, W 14 - StrUeb2613_2640_1","Richtungsgleis","0,0","40","auf Anfrage"
"2620","Köln Hbf, W 144 - StrUeb2620_2622_1","Gegengleis","0,1","80","700 m Bremsweg"
"2620","Köln Hbf, W 144 - StrUeb2620_2622_1","Richtungsgleis","0,1","80","700 m Bremsweg"
"2622","Köln Hbf, W 144 - StrUeb2620_2622_1","Gegengleis","0,1","80","700 m Bremsweg"
"2622","Köln Hbf, W 144 - StrUeb2620_2622_1","Richtungsgleis","0,1","80","1000 m Bremsweg"
"2651","Abzw Köln Steinstraße, W 133 - Köln-Porz (Rhein) Hp","Gegengleis","1,2","160","1000 m Bremsweg"
"2651","Abzw Köln Steinstraße, W 133 - Köln-Porz (Rhein) Hp","Richtungsgleis","1,2","160","1000 m Bremsweg"
"2621","StrUeb2621_2667 - Köln-Kalk Vingst","Gegengleis","0,0","120","1000 m Bremsweg"
"2621","StrUeb2621_2667 - Köln-Kalk Vingst","Richtungsgleis","0,0","120","1000 m Bremsweg"
"2659","Abzw Köln-Mülheim Berliner Straße, W 50, W 50 - Köln Neurather Ring Strw 2652/2659/2730","eingleisig","0,9","80","1000 m Bremsweg"
"2658","Abzw K-Mülh. Berl. Str., W 51 - Köln Bruder Klaus Siedlung","eingleisig","1,1","130","1000 m Bremsweg"
"2625","Abzw Köln-Mülheim Berliner Str., W 241 - Abzw K-Mülh. Berl. Str., W 51","eingleisig","0,3","auf Anfrage","auf Anfrage"
"2670","Abzw Köln-Mülheim Berliner Str., W 241 - Köln-Mülheim Berliner Straße","Gegengleis","0,2","120","1000 m Bremsweg"
"2670","Abzw Köln-Mülheim Berliner Str., W 241 - Köln-Mülheim Berliner Straße","Richtungsgleis","0,2","120","1000 m Bremsweg"
"2630","Hürth-Kalscheuren, W 9 - Hürth-Kalscheuren","Gegengleis","0,8","160","1000 m Bremsweg"
"2630","Hürth-Kalscheuren, W 9 - Hürth-Kalscheuren","Richtungsgleis","0,8","160","1000 m Bremsweg"
"2631","Hürth-Kalscheuren, W 9 - Hürth-Kalscheuren","Gegengleis","0,8","100","1000 m Bremsweg"
"2631","Hürth-Kalscheuren, W 9 - Hürth-Kalscheuren","Richtungsgleis","0,8","100","1000 m Bremsweg"
"2630","Hürth-Kalscheuren, W 36 - Brühl Gbf","Gegengleis","2,9","160","1000 m Bremsweg"
"2630","Hürth-Kalscheuren, W 36 - Brühl Gbf","Richtungsgleis","2,9","160","1000 m Bremsweg"
"2630","StrUeb2630_2640_2 - Hürth-Kalscheuren, W 33","Gegengleis","0,0","160","1000 m Bremsweg"
"2630","StrUeb2630_2640_2 - Hürth-Kalscheuren, W 33","Richtungsgleis","0,0","160","1000 m Bremsweg"
"2640","StrUeb2630_2640_2 - Hürth-Kalscheuren, W 33","eingleisig","0,0","100","auf Anfrage"
"2630","Köln Süd, W 1 - StrUeb2630_2642_2","Gegengleis","0,0","90","1000 m Bremsweg"
"2630","Köln Süd, W 1 - StrUeb2630_2642_2","Richtungsgleis","0,0","90","1000 m Bremsweg"
"2642","Köln Süd, W 1 - StrUeb2630_2642_2","eingleisig","0,0","90","700 m Bremsweg"
"2630","StrUeb2630_2645 - Bonn UN Campus","Gegengleis","2,3","160","1000 m Bremsweg"
"2630","StrUeb2630_2645 - Bonn UN Campus","Richtungsgleis","2,3","160","1000 m Bremsweg"
"2645","StrUeb2630_2645 - Bonn Hbf","eingleisig","0,2","40","1000 m Bremsweg"
